phi theta ratio
117.50 23.00 0.999673
117.50 25.00 0.999515
117.50 27.00 0.999411
117.50 29.00 0.999303
117.50 31.00 0.998956
117.50 33.00 0.998878
117.50 35.00 0.998578
117.50 37.00 0.998435
117.50 39.00 0.997639
117.50 41.00 0.997406
117.50 43.00 0.997134
117.50 45.00 0.996275
117.50 47.00 0.995858
117.50 49.00 0.994981
117.50 51.00 0.993907
117.50 53.00 0.992842
117.50 55.00 0.991309
117.50 57.00 0.990043
117.50 59.00 0.988110
117.50 61.00 0.985805
117.50 63.00 0.980897
117.50 65.00 0.977176
117.50 67.00 0.972012
117.50 69.00 0.966128
117.50 71.00 0.954133
117.50 73.00 0.941895
117.50 75.00 0.920672
